question_id,student_id,solution
20_21-1-1-java,2BBW3WNW,"long expo(long a,long b,long c){
    long result;
    long bhalb;
        if(b == 0)
            return result = 1 % c;
        if(b % 2 == 0)
        {
            bhalb = b/2;
            long zwResult = expo(a, bhalb, c);
            
            result = (zwResult * zwResult) % c;
        }
        else if(b % 2 != 0 && b !=1)
        {
            long zwResult = expo(a,(b-1),c);
            result = (zwResult * a) % c;
        }
        else{
            result = (a % c);
        }

        return result;
}"
20_21-1-1-java,2FXPE3DD,"public static long expo(long a, long b, long c) {
    long res = 1;
    a = a % c;

    if (a == 0) return 0;

    while (b > 0) {
      if ((b & 1) == 1)  
        res = (res * a) % c;
      
      b = b >> 1;
      a = (a * a) % c;
    }
    return res;
  }"
20_21-1-1-java,3MFTY3YK,"long expo(long a,long b,long c) {
    if (b > 1) {
        if (b % 2 == 0) {
            long res = expo(a, b / 2, c);
            return ((res * res) % c);
        } else {
            return ((expo(a, b - 1, c) * a) % c);
        }
    }
    else if (b == 1) {
        return (a);
    } else {
        return (1);
    }
}"
20_21-1-1-java,3W2MWD4G,"long expo(long a,long b,long c)
{
    if(c == 1)
    {
        return 0;
    }
    else
    {
        long i = 1;
        a = a % c;
    
    while(b > 0)
    {
        if(b % 2 == 1)
        {
            i = (i*a) % c;
        }
        b = b >> 1;
        a = (a*a) % c;
    }
    return i;
    }
}"
20_21-1-1-java,5AQKFQBW,"public static long expo(long a, long b, long c){
	    long result = 1;
	    
	    while (b > 0)
	    {
	        if( (b & 1) == 1)
	        {
	            result = (result * a) % c;
	        }
	        
	        b = b / 2;
	        a = (a * a) % c;
	    }
	    return result;
	}"
20_21-1-1-java,66GXIOM6,"long expo(long a,long b,long c){
  long res = 1;
    	a = a % c; 
  
		if (a == 0) return 0; 
  		while (b > 0) { 
        	if ((b & 1) == 1) {
				res = (res*a) % c; 
			}
        b = b>>1;
        a = (a*a) % c;   
	}
	return res;
}"
20_21-1-1-java,6Q23JRTB,"long expo(long base, long expo, long mod)
{
    if(mod == 1L)
	{
		return 0L;
	}
	base = base % mod;
	
	long res = 1L;
	while(expo > 0L) //Bis b == 0
	{
		if((expo & 1L) == 1L)
		{
			//Wenn ungerade, basis einmal anwenden:
			res = (res * base) % mod;
		}
		//Und immer shiften:
		expo = expo >>> 1;
		base = (base * base) % mod;
	}
	return res;
}"
20_21-1-1-java,7QRZJY2B,"long expo(long a,long b,long c){
    long x = a;
    if (b == 0){
        x = 1;
    } else if (b % 2 == 0){
        x = expo(a, b/2, c) ;
        x = x*x;
        x = x % c;
    } else if (b % 2 == 1){
        x = (expo(a, b-1, c) * a) % c ;
    }
    return x;
}"
20_21-1-1-java,7T5WC3XD,"long expo(long a,long b,long c){
        if (b == 0) {
            return 1;
        }
        else if (b%2 == 0){
            long result = expo(a, b/2, c) % c;
            return result * result % c;
        } else {
            return (expo(a, b-1, c) * a) % c;
        }
}"
20_21-1-1-java,A3VVLUGR,"public long expo(long a,long b,long c){
        String exp = Long.toBinaryString(b);
        long value = a % c;

        for(int i=1; i< exp.length(); i++) {
            value = (value * value)%c;
            if (exp.charAt(i) == '1') {
                value = (value*a)%c;
            }
        }

        return value;
    }"
20_21-1-1-java,A6BUAQZY,"long expo(long a,long b,long c){
  long res=1;
while(b>0)
{
  if((b&1)==1)
  {
    res=(res*a)%c;
  }
  a=(a*a)%c;
  b=b>>1;
}
return res;
}"
20_21-1-1-java,AICELHV5,"long expo(long a,long b,long c){
    long x=1;
        long y=a;
        while(b > 0)
        {
            if (b%2 ==1)
            {
                x = (x*y) % c;
            }
            y = (y*y) % c;
            b /= 2;
        }
        
        return x%c;
}"
20_21-1-1-java,AZCUDUY3,"long expo(long a,long b,long c){
    
    long e = 1;
    
    while(b > 0) {
        if(b%2 == 0) {
            a = a * a%c;
            b = b/2;
        }
        else {
            e = e * a%c;
            b--;
        }
    }
 return e;
}"
20_21-1-1-java,BPAUTHVK,"long expo(long a,long b,long c){
long res = 1;
long halter = a;
while (b>0){
  if (b%2==1){
    res = (res*halter)%c;
  }
  halter = (halter*halter)%c;
  b /= 2;
}
return res % c;
}

/*
long potenz(long a, long b,long c)
	{
	    if(b==0)
	    {
	        return 1;
	    }
	    else if(b==1)
	    {
	        return a;
	    }
	    else
	    {
	        if(b % 2 == 0)
	        {
	            return ((potenz(a,b/2,c)%c)*(potenz(a,b/2,c)%c))%c;
	        }
	        else
	        {
	            return (potenz(a,b-1,c)*a);
	        }
	    }
	    
	}
	*/"
20_21-1-1-java,BXOTEHKA,"long expo(long a,long b,long c){
  a %= c;
  long result = 1;
  while (b > 0) {
    if ((b & 1) == 1){
      result = (result * a) % c;  
    } 
    a = (a * a) % c;
    b = b >> 1;
  }
  return result;
}"
